,sequence,label
1675,un massge du pied de mon felin mdrrrrrrr,positive
1677,Bsr dolcevitaa,positive
1682,Lol enissay bah ça va tu aurais pu plus mal tombé,positive
1684,Hello,positive
1686,ça met dans la vibe,positive
1687,Salut,positive
1689,"on se fait soîgner, ne t'inquiête pas trop pour nous..",positive
1690,"Mamy: C'est super Strasbourg, qu'est-ce que tu n'as pas aimé là-bas ?",positive
1691,Bsr sublime,positive
1693,Salut,positive
1694,CV sublime,positive
1696,Salut,positive
1697,bsr Chaouki,positive
1701,Ça va bien sublime,positive
1703,bonsoir,positive
1710,je vais bine merci Chaouki et toi?*,positive
1711,jvais voir Billie Eilish et TheWeeknd en concert donc jdois pas mourir avant,positive
1715,sympa theweekend j'aime bien,positive
1716,Kevin38:  bonsoir,positive
1717,Yop les gens,positive
1718,Ouaib et t'as un album à sortir aussi Koharu.,positive
1719,Bonjour ❤,positive
1721,Salut P0ussiere2lune|TaFF,positive
1724,Baztou33_grr:  bonsoir,positive
1728,Le_Seigneur_Des_Tomb ouiii Billie elle le sort le 31 et askip TheWeeknd va aussi sortir un album je suis archi content,positive
1730,On oublie pas : vive la Normandie 🥰,positive
1732,ptdrrrrrr Kipsi ...... enfin xD,positive
1733,Candice aussi Lol,positive
1734,  lol,positive
1741,  mdr,positive
1743,abawiwiwi,positive
1760,"je suis obsédée par cette chanson, et Miley Cyrus est supra jolie",positive
1761,Bonsoir Insomnie.,positive
1765,Kipsi:  ah et bonsoir,positive
1768,Bonjour,positive
1770,elle tres sexy mamy,positive
1772,  bonsoir P0ussiere2lune|TaFF,positive
1773,G500pseudos:  mdrr,positive
1776,bonsoir Izzy,positive
1779,"hakunamatata moi j'adore surtout le clip et les fringues, et la chanson évidemment !",positive
1784,Julienjulien699 👻 Les filles 🥰,positive
1788,Wafia bjr,positive
1791,Bjr tt le monde,positive
1793,Nailaa: bnjr cv,positive
1796,Argelino1 awah ana ma nosleh ma nsaye9 😂 😂 😂 😂 😂,positive
1797,bonjour tout le monde,positive
1798,Bjr naila cv zina,positive
1800,ChoupetteNoPV: bnjr,positive
1802,bonjour speedd,positive
1804,ChoupetteNoPV: CV b1,positive
1805,bonjour Imen,positive
1806,!calin ChoupetteNoPV cherie,positive
1807, new-man prend ChoupetteNoPV dans ses bras et lui fait un énorme calin ❤❤❤,positive
1808,oui ca va speedd merci et toi,positive
1809,Argelino1 hhhhhhhhh tbat thatref khtik 😂,positive
1810,!calin new-man,positive
1811, ChoupetteNoPV prend new-man dans ses bras et lui fait un énorme calin ❤❤❤,positive
1812,ChoupetteNoPV: hmdlh merci à toi,positive
1813,Bjr choupettenopv cv ma belle,positive
1814,oui va va Imen et toi,positive
1816,Imen:  je te presente mon amour ChoupetteNoPV,positive
1817,New-man calin c hram illicite 😂 😂 😂 😂 😂,positive
1818,new-man: hhhh,positive
1820,new-man embrasse tendrement ChoupetteNoPV jusqu'à ne plus avoir de bouche.(Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
1821,B1 😊 choupettenopv 🌹,positive
1822,Clara arrête tes provocations tu pousses les gens à la fornication,positive
1824,ChoupetteNoPV fait un énorme Kiiiiisss à new-man,positive
1825,c beau lamour Imen,positive
1826,Wallas freeeeeeedoooooom 😂,positive
1827,ChoupetteNoPV:  tu ma manke,positive
1828,New-man lllllooooolllll ghi li 3ndo draham brk 😂 😂 😂 😂 😂 😂,positive
1829,toi aussi new-man,positive
1830,Imen c'est ça la liberté d'expression,positive
1832,lol oui pourquoi,positive
1834,merci ma belle ChoupetteNoPV,positive
1836,Guest32725: bnjr,positive
1837,!tendresse new-man,positive
1838,"ChoupetteNoPV prend new-man dans ses bras, et lui fait un super calin <3 C'est ça l'amour ♥(Ɔ ˘⌣˘)˘⌣˘ C)♥",positive
1839,Speedd bjr,positive
1840,!calin ChoupetteNoPV partout,positive
1841, new-man prend ChoupetteNoPV dans ses bras et lui fait un énorme calin ❤❤❤,positive
1842,!coeur ChoupetteNoPV,positive
1843,❤❤❤❤ ChoupetteNoPV ❤❤❤❤ ,positive
1844,toto: bnjr frr ara domino nelaabo,positive
1845,!love ChoupetteNoPV,positive
1846,new-man t'aime de tout son coeur ChoupetteNoPV ! DéClaration devant vous sur #algerie ! (Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
1847,speedd:  bjr sahit khou,positive
1848,speedd:  tu adore le mot partout toi hhhh,positive
1849,!love new-man,positive
1850,ChoupetteNoPV t'aime de tout son coeur new-man ! DéClaration devant vous sur #algerie ! (Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
1855,new-man: lol,positive
1857,Toto bjr,positive
1858,nailaa cc cv,positive
1860,Pourquoi l'avz-vs aimé choupettenopv ;),positive
1863,coucou bonjour Guest32725 tu vas bien,positive
1867,Toto bien bien et toi,positive
1868,Hhhh vazy choupettenopv,positive
1869,tres bien c est gentil merci Guest32725,positive
1873,De rien,positive
1878,Unknown reposé,positive
1879,toto bien hmd et toi,positive
1881,hamdoullah merci new-man,positive
1883,ok ma soeur Imen,positive
1895,😂 speedd hssabli soukna,positive
1903,invite nous a oran moi et ChoupetteNoPV,positive
1908,😋 t as raison Unknown je suis foutu avec speedd,positive
1914,Unknown j'ai que 46 millions pr l'instant :),positive
1922,toto: matkesserch rassek je c gèrer اني لها لقوى امين,positive
1935,Unknown lol vive riba,positive
1936,😋 comme moi non speedd,positive
1946,3nd khali :),positive
1949,Issalmk unknown :),positive
1950,😂 speedd drahmi bessah,positive
1951,Toto well Rabi yakhlef 3lik xD,positive
1955,😁 Unknown speedd,positive
1958,Hhhhhh ta3 ruina unknown 😂,positive
1960,toto: 😜,positive
1965,Et ici les chat et chien c'est pas ça qui manque,positive
1967,Imen: oui kayna 3afaf w kafaf,positive
1969,😁 ah oui sah projet nedarssouh Unknown,positive
1972,toto: hhhh ana je préfère  acheter des bien que tijara,positive
1974,!calin ChoupetteNoPV partout,positive
1975, new-man prend ChoupetteNoPV dans ses bras et lui fait un énorme calin ❤❤❤,positive
1978, ChoupetteNoPV prend new-man dans ses bras et lui fait un énorme calin ❤❤❤,positive
1979,ChoupetteNoPV:  mouahhhhhhhhhhhhhhhhhhhh,positive
1982,mouahhhhhhhhhhhhhhh new-man,positive
1985,New-man :/ rah 3ndek intaj kbir ta3 les câlins rak tsadar 😂,positive
1986,toto: 😜😜😜,positive
1988,ho le beau couple new-man et ChoupetteNoPV,positive
1992,Imen:  looool jai des convoi de calins juste pour ma ChoupetteNoPV,positive
1994,merci mon frere argelino1,positive
1996,bonjour argelino1,positive
1997,20 milliards peut être plus si la bank m'accorder se prêt,positive
1999,Vive massi imen,positive
2000,bonjour ChoupetteNoPV,positive
2003,Argelino1 rah bisbabk ytferkto 😂,positive
2006,Plus de 20 milliards,positive
2014,Suis là,positive
2016,toto: Guest32725 est la,positive
2018,Unknown hdra gratuit lol,positive
2019,New-man lol me too,positive
2021,😏 j ai vu speedd lol ....uhum on sort déjeuner tu viens avec nous Guest32725 c est speedd qui paie avec l argent de Unknown mdrr,positive
2024,Guest32725: ke du bonheur alors,positive
2026,toto: bonne idee,positive
2027,New-man merci ami,positive
2028,Unknown nkhdem recevara XD,positive
2031,!tendresse  ChoupetteNoPV,positive
2037,!calin new-man,positive
2038, ChoupetteNoPV prend new-man dans ses bras et lui fait un énorme calin ❤❤❤,positive
2039,toto: rahat guest fy f'dak Chi hhh,positive
2043,😁 speedd,positive
2045,jtm tres fort et jtmerai encore  je serai ta joie je ferai ton bonheur mon amour  ma ChoupetteNoPV,positive
2048,mouahhhhhhhhhhhh new-man,positive
2049,Speedd xD,positive
2051,ChoupetteNoPV:  mouahhhhhhhhhhhhhhhh mais partout lol,positive
2056,Imen bayna rahou swaredha fel maquillage xD,positive
2060,Salu la fuyarde Lulu,positive
2063,Lulu bnsr,positive
2064,Speedd slm,positive
2067,Unknown slm,positive
2069,hhh speedd,positive
2070,Imen hum hum hum xD galek wech aki mlaha c ça ?,positive
2073,new-man: hhhh Imen ,positive
2074,lulu cv,positive
2075,New-man lol 😂,positive
2077,Speedd non je disais ça pour les amoureux au salon lol,positive
2079,Lulu: lol dcr ,positive
2080,Soon CV,positive
2082,New-man hhhhhhh jbtha unknown 😂,positive
2084,nailaa cv wachbike,positive
2091,Nailaa ça arrive,positive
2092,😎~ https://youtu.be/KRaWnd3LJfs,positive
2102,Speedd xD,positive
2103,Imen: Man taxifon hhh,positive
2104,Unknown: hhh,positive
2106,Lol speedd XD,positive
2108,Hhhh,positive
2109,Speedd lol,positive
2111,Imen: hhhh,positive
2112,Unknown lol hhhhhhhhh,positive
2114,😍~ https://youtu.be/09R8_2nJtjg,positive
2122,Hak rak mlih sede9ni lol,positive
2128,Imen:  rahate lgawwriya  lol nheb zid arbiya,positive
2135,New-man ywdi tzawj 20 ida gdert 😂,positive
2137,hhhh,positive
2138,Slm alikom mes amis (es),positive
2140,Imen: à tte bn journee,positive
2141,a plus Imen  bonne apres midi,positive
2142,New-man ghi whda w tkamel m3ak ;),positive
2143,lalaaaaaaaaaa:  pseudo twil  njib m9asssss,positive
2144,Speedd athala fi arabica :),positive
2146,Imen:  cc,positive
2147,Imen: nthala fikom gaa lol,positive
2148,¯\_ಠ_ಠ_/¯,positive
2149,new-man:  ahla,positive
2150,baloo:  salem,positive
2151,Okok slt,positive
2152,Unknown:  le sage ahla,positive
2153,Daya:  re,positive
2157,argelino1: OK mruguela hhh,positive
2158,Lol lyoum. Yosal my roi 😎 New-man w nhawisso hhhhhhhhhhh,positive
2159,Baloo oui sage de 8h jusqu'à 12h,positive
2161,On peut être sage tout le temp,positive
2164,Imen:  mechi wahdi maa une belle princesse  tekhdem fla banque mdr,positive
2165,Wahdek kiwalo New-man vive hbel bil halal 😊😉,positive
2166,Speedd slm pense à boire bcp d eau,positive
2167,Où des bières xD,positive
2168,Unknown: oui merci c l'essentiel frr mrci,positive
2169,Hiya des bières khir xD,positive
2172,Hhhhhh New-man rak dayerhom kima les chemises kolyoum ybadel hram 3lik,positive
2174,Unknown: haram hhh,positive
2175,Speedd ça c est bien vrai,positive
2176,Unknown: oui aya a tte frr,positive
2177,A tout,positive
2180,New-man his the one for me & the best of th best 😎,positive
2182,hhhhh,positive
2183,New-man lol hadek 3inih ymlihom. Trab 😂,positive
2184,Rudboy hello brave,positive
2185,"A""tina wahda ya new-man",positive
2186,loool Imen,positive
2187,Unknown salam ✌️,positive
2189,argelino1:  sayad wahdek hbibi  lol,positive
2190,Unknown non non ça va 👍🏼,positive
2191,Rudboy ravi pour toi,positive
2192,imen habbit nsaydek,positive
2193,New-man kon tzawajt bi whda tfhmk bi nadra wkima kont mtmani nta omrek matbadel w thawes 3la jdid 😉,positive
2199,New-man nn 3wed a9ra tfhm 🙃,positive
2200,Hya ✌️,positive
2201,!bye,positive
2202,Imen souhaite une bonne nuit ☾ à tout le monde ! (*・‿・)ノ*`*`* A demain les Ami(e)s !,positive
2203,Imen:  la routine te9tel koulech,positive
2207,sagesse1 chefti nas kifache sent sage,positive
2208,gigamya cv,positive
2209,salam  tous  le monde,positive
2212,GIGAMYA hhhhhhhh,positive
2213,!bjr,positive
2214,Arabica dit un grand Bonjour ou Bonsoir à tout le monde ! ヽ(•‿•)ノ,positive
2215,Arabica bonjour a toi,positive
2216,Unknown: bonsoir mrc how are you ,positive
2217,Arabica i am fine,positive
2218,Nedeb la fine la walou skhana elf el bara xD,positive
2219,Et toi comment vas tu ?,positive
2220,mdrrrrrr Unknown ,positive
2221,moi cv bien,positive
2222,merci,positive
2225,Arabica:  le salon est entre tes mains de macon hhhh,positive
2227,lolll baloo 😁😁😁,positive
2228,Unknown:  t sage ou koi la le mode,positive
2229,Unknown: cv mes poussins😍😍😍😍,positive
2235,Bonjour.,positive
2236,slt jessica pv,positive
2240,Alikoum,positive
2243,salam nasia cv zina😘😘😘😘,positive
2244,Tlemcen13 salam,positive
2247,Arabica salam comment ça va bisous 💋💚😘😍🤩,positive
2248,Baloo coucou,positive
2249,Salam,positive
2250,hmdlh ma belle nasia 😍😘💋🌻,positive
2251,Hommes31 salam ah oui,positive
2252,nasia:  cc,positive
2255,Arabica @nasia 🌹,positive
2256,Ça va Baloo,positive
2257,!kiss nasia ,positive
2258,Arabica fait un énorme Kiiiiisss à nasia,positive
2265,nasia:  oui,positive
2266,baloo|fb:  ouii avec tes amies d enfance de la bas aussi😜😜😂😂😂,positive
2267,nasia: cv,positive
2268,Arabica:  hh oui,positive
2269,Arabica: cv,positive
2270,baloo|fb: cv,positive
2273,nasia: CV merci,positive
2275,Argelino1 si je pense te l avoir dit,positive
2276,Salam c va,positive
2277,baloo|fb: CV frr hhhhh,positive
2279,nasia ma koltilich bessah ana nkollek bonjour nonne après midi bonne soirée et bonne nuit,positive
2282,Bonjour,positive
2285,baloo|fb: 😜😜😂😂😂😂😂,positive
2286,Arabica hmdlh c b1 lol,positive
2288,Unkwown salam re,positive
2290,speedd:  je fui tjr la Arabica au autre site hhhhh,positive
2291,slm nasia,positive
2292,labes b khir hamdoullilah ouenti? Nasia,positive
2293,Nasia,positive
2294,baloo|fb: ghyr ahreb hhhh,positive
2297,😂😂😂😂😂😂😂😂😂,positive
2299,Arabica fait un énorme Kiiiiisss à eurasienne,positive
2301,!coeur eurasienne ,positive
2302,❤❤❤❤ eurasienne ❤❤❤❤ ,positive
2303,Argelino1 je vais Bein iselemk,positive
2306,Karim23 salam,positive
2307,baloo|fb: une voyance blk Arabica hhh,positive
2308,Arabica: hhhh,positive
2309,speedd:  une sorcière hhhh Arabica,positive
2310,sava nasia,positive
2312,baloo|fb: hhh,positive
2316,Arabica:  hhhh lotf,positive
2319,Karim23 hmd merci wenta,positive
2320,baloo|fb: Arabica hhhhh,positive
2321,sava,positive
2322,baloo|fb: ahh ouii j assume pour ça 😂😂😂😂,positive
2324,karim23: salam ,positive
2325,salam arabica,positive
2327,baloo|fb: ouii que ça 😂😂😂😂,positive
2328,Arabica:  et moi ki a cru ke je ss ensorcelé par tes beaux yeux pffff,positive
2329,!kiss Arabica,positive
2330,eurasienne fait un énorme Kiiiiisss à Arabica,positive
2331,!coeur Arabica,positive
2332,❤❤❤❤ Arabica ❤❤❤❤ ,positive
2333,Eurasinne Salam c va,positive
2337,bonjour nasia,positive
2339,ouaiiiiii Arabica,positive
2340,eurasienne: bnjr cv,positive
2341,lololol,positive
2342,Arabica il a l'air amoureux mdr,positive
2343,coucou speedd bisous bien merci et toi,positive
2344,Eurasienne tu vas,positive
2345, bien,positive
2348,!love eu,positive
2349,Arabica t'aime de tout son coeur eu ! DéClaration devant vous sur #algerie ! (Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
2350,hhhh,positive
2351,!kiss eurasienne ,positive
2352,Arabica fait un énorme Kiiiiisss à eurasienne,positive
2353,eurasienne: bisou merci à toi,positive
2354,lol*,positive
2355,Ou Mounira  lol,positive
2356,ahawka: CV kch music taa hamassya,positive
2363,hhhhhh,positive
2366,hhhhhh,positive
2369,hhhhhh,positive
2373,hhhhh,positive
2375,Slt ahawaka,positive
2379,hhhhh,positive
2390,Offside haha quel belle réparti,positive
2392,hhhhhhh,positive
2400,Salamo hhhhh,positive
2404,Hahahah,positive
2406,Mdrrrrrrrrr,positive
2409,Tu  es belle Adage  hahahah,positive
2410,La jeunesse,positive
2412,coucou,positive
2413,perlea: bnsr cv ,positive
2414,speedd le rapide ça va,positive
2416,salut,positive
2417,Speedd bien et toi,positive
2418,Salamo lol alone et heureuse xD,positive
2420,perlea: hmdlh merci a toi alor koi de 9 lol,positive
2427,Salamo le monde est construis bien avec ma famille masha allah hahha xD,positive
2438,slm babycrew,positive
2441,Slm alikoum perlea,positive
2443,Salam alykoum,positive
2444,Babycrew: cv frere,positive
2445,Speedd rouya labass hmdl,positive
2447,speedd on supporte on est obligé :) disons ça va,positive
2448,Babycrew salut ça va,positive
2449,Perlea oui et toi mon amie,positive
2450,Salamo ✌👋✌👋✌👋 x5,positive
2451,Hhhhhh,positive
2452,Babycrew hamdouallah merci,positive
2455,Babycrew: hmdlh,positive
2457,Adage: tape ✋,positive
2464,Salam,positive
2466,Salam anya,positive
2470,Hhhhhhhj,positive
2471,Salam comca59,positive
2481,Adage pkoi toi la reine des étoiles' mdrrr,positive
2482,comca59 salut,positive
2485,Speedd oui,positive
2487,Pas du tt comca59 je rep a tout le monde,positive
2490,Je sais anya,positive
2491,Temrade speedd 😂😂😂😂,positive
2492,Hamdouleh et toi Adage,positive
2494,Bien hamdulilah anya,positive
2498,😂😂😂😂 speedd fiha fiha,positive
2499,Anya:  bonsoir mon amie,positive
2502,Salam new-man,positive
2503,Adam16: m sbah tu parles ana wja3ni rassi a ta place xD,positive
2504,Ahhhh,positive
2505,Anya: lol bayna hhh,positive
2508,😂😂😂😂 speedd,positive
2513,bonsoir anya,positive
2517,Salam,positive
2518,!kiss DialoguerSimplement bonsoir,positive
2519,Anya fait un énorme Kiiiiisss à DialoguerSimplement,positive
2520,perlea: nebdaw chwi lol,positive
2521,Salam dybala,positive
2522,!kiss anya,positive
2523,DialoguerSimplement fait un énorme Kiiiiisss à anya,positive
2524,DyBaLa salut,positive
2525,Anya ohhoooooooooo 🤪,positive
2526,speedd mdr,positive
2527,Salamo 😷 b skotch,positive
2528,😁😁😁 dybala,positive
2529,Salam dybala,positive
2530,perlea: besmalah,positive
2531,Anya porte bonheur comment vas tu ?,positive
2534,Salamo 😶,positive
2535,Hamdouleh et toi dybala,positive
2539,haha speedd du bist verangstigt,positive
2542,Adage ana j'ai été calme avant,positive
2550,"Salamo tu es calme oui xD , moi jai 7 visages xD",positive
2558,perlea: hhhhh aglaba,positive
2560,😂😂😂😂 Adage,positive
2561,Salam canari,positive
2562,Ahhhhhh Anya,positive
2563,Adage ma porte et ouvert vient me la apprendre,positive
2564,perlea: mouha mouha ya moh lol,positive
2566,mdrr elle es toujours la bolbol 😂✌️,positive
2567,lol speedd,positive
2576,Salam moscoo,positive
2582,Salamo: Tkt elle t'mènera a bon port ....et par l'bout du nez !! lol,positive
2583,Bien hamdouleh et toi moscoo,positive
2584,!calin DialoguerSimplement,positive
2585, new-man prend DialoguerSimplement dans ses bras et lui fait un énorme calin ❤❤❤,positive
2590,Anya Rana m3a skhana 52⁰ aujourd'hui lol hhhh,positive
2591,!calin new-man,positive
2592, DialoguerSimplement prend new-man dans ses bras et lui fait un énorme calin ❤❤❤,positive
2595,Mdrrr,positive
2598,bueno4: mes salution distinguee lol cv frr,positive
2603,!tendresse DialoguerSimplement,positive
2604,"new-man prend DialoguerSimplement dans ses bras, et lui fait un super calin <3 C'est ça l'amour ♥(Ɔ ˘⌣˘)˘⌣˘ C)♥",positive
2608,!embrasse new-man,positive
2609,DialoguerSimplement embrasse tendrement new-man jusqu'à ne plus avoir de bouche.(Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
2615,new-man t'envoie de petits anges gardiens pour te surveiller DialoguerSimplement ~Å~ ~Å~ ~Å~ DialoguerSimplement ~Å~ ~Å~ ~Å~ DialoguerSimplement ~Å~ ~Å~ ~Å~ DialoguerSimplement ~Å~ ~Å~ ~Å~,positive
2620,Salamo je te traduis aussi pour que tu comprens 😮,positive
2622,bueno4: hhhh cv toi,positive
2627,"DialoguerSimplement lance de la poussière d'étoile tout autour de new-man ';`*^',*;~`;.,*`.`*~;*~`;,.'*`.;*``;.^.*`~..;`*.^;.,*`;~..*;`~*.,:*`** parce-que TU es vraiment SPÉCIAL ! ",positive
2628,!bjr KnuX,positive
2629,new-man dit un grand Bonjour ou Bonsoir à KnuX ! ヽ(•‿•)ノ,positive
2630,bonjkour new-man*,positive
2631,Salamo lien introuvable,positive
2632,Moscoo b12 lech mlih zaama hahahah ?,positive
2640,bueno4: cv merci frr skhana lyamat hado !,positive
2658,😂 دعونا نذكر الله,positive
2667,bien sur,positive
2668,bueno4: canari raho f nile drk hhh,positive
2671,perlea: amched = amchet    ghassek = rassek  amghoufen = raho mghoufel hhh,positive
2673,perlea: regard hhh,positive
2675,haha,positive
2678,perlea: lol cetait une blague  lol,positive
2679,bonsoir bueno4,positive
2680,speedd: Ah d'accord lol ....khiar enass lol,positive
2681,DialoguerSimplement: Bonsoir l'honorable gente Dame,positive
2684,salut fort1 comment vas tu?,positive
2685,bueno4: merci mon frr toi alger nn !,positive
2686,Adage paix à son âme,positive
2687,perlea: ta saisi !,positive
2688,"perlea:  salut, je vais bien merci et toi donc?",positive
2692,fort1 bien merci,positive
2696,Dit*,positive
2701,perlea: tant mieux alors,positive
2703,speedd: Mdr voila,positive
2704,!love DialoguerSimplement,positive
2705,new-man t'aime de tout son coeur DialoguerSimplement ! DéClaration devant vous sur #algerie ! (Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
2707,fort1 hamdouallah contente de te revoir,positive
2708,Remercier dieu qui ta données une bonnes santé,positive
2709,bueno4: khyar nass vraimn des gens b1 ,positive
2710,merci idem,positive
2711,!love new-man,positive
2712,DialoguerSimplement t'aime de tout son coeur new-man ! DéClaration devant vous sur #algerie ! (Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
2715,perlea: merci idem,positive
2716,جاك اليان,positive
2719, new-man prend DialoguerSimplement dans ses bras et lui fait un énorme calin ❤❤❤,positive
2720,fort1 je t'en prie,positive
2721,جاك داعش,positive
2728, DialoguerSimplement prend new-man dans ses bras et lui fait un énorme calin ❤❤❤,positive
2729,جاك جن,positive
2733,Salamo 😐 allah yahdina rani khayaf passage vers le feu,positive
2734,bueno4: mrci,positive
2737,perlea: on esper nchlh,positive
2738,merci bien speedd,positive
2744,ههههههه,positive
2750,new-man: lol ,positive
2751,hhhhhhhh,positive
2752,Ouff c'est fermé a clé adage,positive
2757,hhhhhh rouh nikomek al9ahba a new man,positive
2758,hhhhhhhhhhh,positive
2765,😂😂😂😂✌️,positive
2768,hhhhhhhhhh,positive
2774,!kiss eurasienne|vivaitalia,positive
2775,MvsConeX fait un énorme Kiiiiisss à eurasienne|vivaitalia,positive
2776,Salamo 😮 Superstitions Nous nous leurrons que quelqu'un est entré dans notre cœur,positive
2779,!kiss MvsConeX,positive
2780,eurasienne|vivaitalia fait un énorme Kiiiiisss à MvsConeX,positive
2781,!kiss DialoguerSimplement,positive
2782,eurasienne|vivaitalia fait un énorme Kiiiiisss à DialoguerSimplement,positive
2784,new-man: merc mon frere,positive
2786,mdrrrrrrrrr,positive
2787,!kiss eurasienne|vivaitalia,positive
2788,DialoguerSimplement fait un énorme Kiiiiisss à eurasienne|vivaitalia,positive
2789,lol eurasienne|vivaitalia,positive
2790,on dirait BFM TV ici mais en mieux  lol 😂😂😂,positive
2792,Ca va eurasienne|vivaitalia ?,positive
2795,bien merci et toi MvsConeX|VivaOrangina,positive
2796,Tres bien aussi merci eurasienne|vivaitalia,positive
2797,bisousss speedd,positive
2799,a+ kader31|abs,positive
2802,ouaiiii bueno4 comme tu dis :p,positive
2803,eurasienne|vivaitalia: cc bisou a toi cv b1,positive
2804,Bonjour àvous  tous,positive
2807,oui speedd merci et toi,positive
2810,eurasienne|vivaitalia: merci a toi jesper qu litalie von gagner ,positive
2813,vive celibat,positive
2815,esperons aussi speedd,positive
2817,mdrrrrrrr,positive
2818,eurasienne|vivaitalia: b1 lol,positive
2823,ouiiiiiiiiii MvsConeX :p,positive
2825,mdrrrrrrrrrrrrr,positive
2826,samedii:  hhhhhhhhh,positive
2827,Adage: slm a tte nchlh,positive
2833,mdrrrrrrrrrrrrr,positive
2838,!kiss eurasienne|vivaitalia,positive
2839,solitair42 fait un énorme Kiiiiisss à eurasienne|vivaitalia,positive
2843,!kiss solitair42,positive
2844,eurasienne|vivaitalia fait un énorme Kiiiiisss à solitair42,positive
2845,Lol merci eurasienne|vivaitalia,positive
2847,!calin DialoguerSimplement,positive
2848, new-man prend DialoguerSimplement dans ses bras et lui fait un énorme calin ❤❤❤,positive
2849,avec plaisir MvsConeX,positive
2852,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,positive
2868,dici samedii samedii tu comprendra lool,positive
2869,samedii: ok lol ca explique 🤣,positive
2872,hhhhhhhhhhhhh,positive
2873,hhhhhhhhhhhhh,positive
2878,moi j'aime manger,positive
2879,new-man: hhhh,positive
2880,hhhhhhhhhhhhhhhhhhhhhhhhhh,positive
2883,hhhhhhhhh,positive
2884,samedii: oui fu tri9 hhh,positive
2887,hhhhhhhhhhhhhh,positive
2888,hhhhhhhhhh,positive
2891,hhhhhhhhhhhhhh,positive
2897,Mdrrr,positive
2899,Ouii,positive
2900,Mdrrr,positive
2901,jarana hhhhh,positive
2902,Hahahah,positive
2903,hhhh,positive
2907,hhhh,positive
2913,machi visible,positive
2914,hhhhhhhhhhhhhh,positive
2915,Voilà,positive
2916,:D  ha hamouda,positive
2918,Merci frère,positive
2919,de rien chef,positive
2924,Samedii ya rabbi meskin hhhhhhh,positive
2925,😂😂😂😂,positive
2926,Hahahah,positive
2931,hhhhhhhhhhhhh,positive
2932,isseb o yedreb  dok rahi techki  :D,positive
2936,new-man merci c'est  gentille mon frère,positive
2937,bonne soiree DialoguerSimplement bisousss,positive
2940,!bye salon,positive
2941,DialoguerSimplement souhaite une bonne nuit ☾ à salon ! (*・‿・)ノ*`*`* Bye Bye !,positive
2946,je ten prie frere Salamon,positive
2954,hhhhhh,positive
2958,Samedii mdr goul bismillah matestechfach waara denia hhhhhh,positive
2964,hhhhhh,positive
2971,Louve-Sauvage:  slt,positive
2977,hhhhhhh,positive
2979,Mdrrrrr,positive
2981,!kiss sagesse68,positive
2982,new-man fait un énorme Kiiiiisss à sagesse68,positive
2983,Adage dans l'informatique centre professionnel toi,positive
2985,hhhhhh,positive
2987,lkiss new,positive
2988,testahel lol,positive
2989,samedii:  tgoulha dirlek  khoul3  hhhh belek,positive
2990,Mdrrr,positive
2991,ani meghlou3 deja,positive
2992,hhhhhhhhh,positive
2996,lol sagesse68,positive
2997,Adage quoi hahahah,positive
2998,ahayyyy  aychin f les reves,positive
2999,ki yetzawjo,positive
3001,Perlea les malaika rahma,positive
3004,hhhhhhhhh,positive
3006,Hahahah,positive
3007,New-man slt la famille,positive
3012,Babycrew pardon !,positive
3015,hhhhhhhhhhhh,positive
3018,Samedii hhhhhhhhh ana muslima,positive
3024,ila tssomi,positive
3025,hhhhhh,positive
3026,kayen muslima o trouh chawafate lol,positive
3028,Adage https://photos.app.goo.gl/UsJxivywCAhtXaWy9  hahahah,positive
3029,rafed ramdane,positive
3031,اطعمه الله,positive
3032,SorinTudor:  bsr popogne,positive
3036,hhhhhhh,positive
3037,re kader31|l-o-l,positive
3039,C'est toi minoucha  hahahah Adage hahahah,positive
3050,Unknown:  hhh,positive
3052,Hhhhhhh,positive
3054,Je trouve 6 réponses à votre demande. Voici les 5 plus récentes (dans l'ordre): kader31|l-o-l kader31|abs kader31 yazidd yaris_|abs. kader31|abs (Chaat@63AB3C0C.2656E219.D43110A.IP) a été vu changer de nick pour kader31|l-o-l sur #algerie il y a 4 minutes.,positive
3056,hhhhhh,positive
3059,C est plus rapide,positive
3061,Quoi de neuf,positive
3063,je re,positive
3069,Salamon introuvable,positive
3070,Hhhhhhhhhhh,positive
3072,😂😂😂😂,positive
3075,Hhhhhhhhhhhh,positive
3077,khkhkhkhkh,positive
3084,Je trouve 6 réponses a votre demande.  voici les 5 plus récentes (dans l'ordre): Ghosta Tinona Ame yazid4152 Floyd-. Ghosta (Chaat@ECC83617.29EC797D.DF5A9088.IP) a été vu pour la dernière fois joindre #Accueil il y a 1 minute. Ghosta est maintenant sur #Accueil.,positive
